,00001,00011,00014,00015,00026,00027,00029,00031,00038,00039,00040,00047,00048,00049,00054,00065,00081,00082,00086,00087
00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00014,0.139,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00015,0.139,0.212,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00026,0.631,0.0,0.587,0.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00027,0.647,0.0,0.614,0.616,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00029,0.149,0.0,2.512,2.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00031,0.06,0.142,0.165,0.165,0.657,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00039,0.061,0.226,0.18,0.18,0.651,0.678,0.131,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00040,0.06,0.139,0.172,0.172,0.658,0.676,0.164,0.017,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00047,0.071,0.185,0.149,0.15,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00048,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00049,0.294,0.516,0.537,0.536,0.0,0.0,0.184,0.0,0.0,0.287,0.308,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00054,0.221,0.367,0.122,0.121,0.971,0.599,0.0,0.349,0.0,0.293,0.352,0.0,0.434,0.118,0.0,0.0,0.0,0.0,0.0,0.0
00065,0.223,0.48,0.123,0.123,0.961,0.598,0.0,0.356,1.743,0.295,0.36,0.0,0.443,0.284,0.305,0.0,0.0,0.0,0.0,0.0
00081,0.133,0.484,0.004,0.002,0.602,0.62,0.136,0.166,0.0,0.185,0.186,0.0,0.0,0.229,0.59,0.575,0.0,0.0,0.0,0.0
00082,0.23,0.0,0.0,0.0,0.0,0.0,0.234,0.964,0.0,0.0,0.248,0.166,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00087,0.263,0.0,0.246,0.246,0.645,0.609,0.0,0.201,0.0,0.208,0.318,0.083,0.082,0.0,0.085,0.087,0.035,0.168,0.0,0.0
