,00001,00011,00014,00015,00026,00027,00029,00031,00038,00039,00040,00047,00048,00049,00054,00065,00081,00082,00086,00087
00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00014,0.846,0.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00015,0.846,0.841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00026,0.899,0.899,0.962,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00027,0.865,0.881,0.946,0.946,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00029,0.813,0.903,0.828,0.828,0.86,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00031,0.896,0.91,0.857,0.857,0.884,0.885,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00038,0.841,0.858,0.789,0.79,0.813,0.81,0.831,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00039,0.946,0.951,0.892,0.892,0.938,0.912,0.908,0.943,0.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00040,0.946,0.951,0.892,0.892,0.938,0.912,0.908,0.943,0.853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00047,0.831,0.934,0.856,0.856,0.887,0.897,0.957,0.916,0.82,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00048,0.851,0.871,0.795,0.795,0.818,0.809,0.821,0.909,0.99,0.865,0.865,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00049,0.859,0.871,0.859,0.859,0.878,0.883,0.906,0.937,0.849,0.9,0.9,0.928,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00054,0.847,0.783,0.899,0.899,0.855,0.828,0.769,0.842,0.833,0.842,0.842,0.751,0.847,0.767,0.0,0.0,0.0,0.0,0.0,0.0
00065,0.841,0.774,0.899,0.899,0.851,0.826,0.76,0.845,0.83,0.839,0.839,0.744,0.844,0.763,0.995,0.0,0.0,0.0,0.0,0.0
00081,0.887,0.854,0.96,0.96,0.952,0.943,0.886,0.896,0.791,0.926,0.926,0.888,0.796,0.887,0.895,0.894,0.0,0.0,0.0,0.0
00082,0.811,0.928,0.837,0.837,0.873,0.875,0.977,0.918,0.81,0.921,0.921,0.965,0.807,0.903,0.759,0.748,0.878,0.0,0.0,0.0
00086,0.869,0.927,0.815,0.815,0.862,0.856,0.908,0.94,0.873,0.924,0.924,0.942,0.872,0.957,0.727,0.725,0.848,0.91,0.0,0.0
00087,0.86,0.805,0.889,0.889,0.852,0.831,0.813,0.898,0.884,0.87,0.87,0.799,0.891,0.832,0.967,0.967,0.9,0.8,0.796,0.0
